Question Id,My Label,Label Correctness,Justification,Automated Label,
1758C1ntGFo_J3b9Gru82Z393529,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
fbd73acaf261489989720d1d2a7eb1b5,A,Correct,"The question asks for a yes/no question, so the answer should only have one word, yes or no.",A,
329,A,Incorrect,"The question is straight forward, and is not complex. So it should be A because of the simple question.",C,
1403de07gs-9JpPhLkY3NXmx678,A,Incorrect,"The question is straight forward, asking for a name only. Not that complex, that it should be a C",C,
237,A,Incorrect,"The question is straight forward, and is not complex. So it should be A because of the simple question.",B,
22353xyc8AR6WxpoF2OKgYnG4006,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
2070ak7o05iYQKrCn9M9TwT31591,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5a7774e155429967ab10518d,A,Incorrect,"The question only ask which studio helps never land Production, and the answer should be only simple which is which studio.",C,
5a8af1e255429950cd6afc28,C,Correct,The questions need more than 4 multi hop assesment of the question before the answers came out. ,C,
963hj2Qz6EQ6THhVWXKuc_U512,A,Incorrect,The question only ask the name who make peace when there is conflict in surabaya. It doesn't ask who and when.,B,
5a7f296f55429934daa2fd10,A,Incorrect,The question only ask the name who make peace when there is conflict in surabaya. It doesn't ask who and when.,C,
906MvzKtaiX283ibJ29qi6M2606,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
692bmuZ27AI6NVxsz0KR_vt2895,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
272,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
2554mt4e_yJYeBYxqGIR5ybl2482,A,Incorrect,The question asks for a single fact that can be directly retrieved without additional reasoning,C,
dfa04009717747708fd122c1b60eea80,A,Correct,The question asks for a single fact that can be directly retrieved without additional reasoning,A,
5a7fa22b5542992097ad2fa6,B,Incorrect,Requires only 2–3 reasoning steps,C,
25,A,Incorrect,The question only ask the date of the incident happened. So it doesn't need multi-hop answer,B,
