,question,classification
0,Siapa pemimpin PPKI?,B
1,Kapan Pertemuan Sidang Umum 2022 dilaksanakan?,C
2,Keputusan apakah yang diambil Utsman untuk mengatasi perbedaan dialek dalam membaca Al-Qur'an?,B
3,Monumen apa yang ada di Taman Lapangan Banteng?,C
4,Apakah definisi budaya ?,B
5,berapa banyak orang yang menjadi DPR dari Angkatan Bersenjata?,B
6,Siapakah pimpinan Barisan Pelopor?,B
7,Mengapa orang jepang memarahi F. Wuz?,C
8,Siapa orang yang dikirimkan surat oleh Kartini?,B
9,Dimanakah komunitas Yahudi berpusat pada abad ke-16 ?,B
10,Siapa yang membawa agama Islam ke Indonesia?,A
11,Dimana tempat Pangeran Diponegoro semedi?,B
12,Apakah arti kebudayaan menurut M. Selamet Riyadi ?,B
13,Kapankah konsep pertahanan total diterapkan Singapura ?,A
14,Apakah penggerak utama ekonomi Singapura ?,B
15,Kemana arah serangan Grup Angkatan Darat B pasukan Jerman?,B
16,Apakah prinsip yang digunakan dalam pemugaran candi Borobudur ?,B
17,Bagaimanakah cara pemerintah untuk mempertahankan kelangsungan pembangunan ekonomi ?,A
18,Apa negara timur tengah yang menjadi tujuan pelajar malaysia?,B
19,Kapan youtube merilis app buatannya di iPhone?,B
20,Apa hasil dari pernikahan antarbudaya?,B
21,Mengapa jokowi dianggap berbeda dengan pemimpin lainnya?,B
22,Kapankah pemerintah Indonesia secara resmi menutup kedutaan besar di Peking ?,B
23,Pada abad keberapa VOC memberika perizinan membangun pasar dan dibedakan dari harinya?,B
24,Siapa nama dokter yang membantu Kartini ketika melahirkan?,C
25,Pada tanggal berapa berdirinya Partai Demokrat?,B
26,Apa yang menjadi kendala besar kartini dalam mewujudkan cita-citanya?,B
27,Berapakah perdagangan yang melalui Singapura pada tahun pertama ?,B
28,Kapan Perjanjian Damai dengan Jepang ditandatangani?,B
29,Kapan Gencatan Senjata Tanggu disepakati?,C
30,Siapakah komandan batalion 102 ?,B
31,Siapakah yang menjaga mushaf setelah masa Umar bin Khattab?,C
32,Berapa banyak mentri yang mengundurkan diri?,B
33,Pulau manakah yang merupakan pulau berpenduduk terbanyak di dunia?,B
