ID,Question,Answer,Label,Source_Dataset
17877jymQtwntyWZpIqtv6ZT3457,Bagaimana tarif pajak penghasilan di AS dibanding negara-negara Eropa?,lebih tinggi,A,IndoQA-Test
22235lwUx01x9_1JlfE_OedT4041,Siapa nama ketua PDIP?,Megawati Soekarnoputri,A,IndoQA-Test
5a79c9c05542994bb94570a5,Pria yang lahir pada tanggal 25 April 1947 ini adalah anggota rumah bagian bawah legislatif Negara Hawaii.,"Robert ""Bobby"" Bunda",C,Hotpot-Validation
5ae1bf46554299234fd042e6,Apakah Jack dan Coke dan Clover Club Cocktail cocktails?,ya,C,Hotpot-Validation
707rbJ8T66FV5pGZGyETeS02861,Soeharto menjabat sebagai apa ketika usia 32 tahun?,Komandan Resimen Infenteri 15,C,IndoQA-Train
899il7HMq79D4iA4PWEiSgJ2628,Siapakah yang memberikan tanda bila terjadi offside ?,penjaga garis,B,IndoQA-Train
936Yj1HaPjTlXv6Hgo8Cae92522,Kapankah periode Pelita IV dilaksanakan ?,1 April 1984 sampai 31 Maret 1989,B,IndoQA-Train
1957eVvVnYRmwC4qKHak6Ffq2281,Pada tahun berapa Krimea Devlet I Giray membakar Moskwa?,1571,A,IndoQA-Train
1815f6fVJ_fLb1arKXjogwwq3397,Berapa tahun rata-rata masa sekolah anak di Amerika?,dua belas,C,IndoQA-Test
5abd1b6e55429933744ab729,"Kota mana yang merupakan kota tingkat daerah, Jingzhou atau Zixing?",Zixing,C,Hotpot-Validation
1008VQqljjuFs1c2gPBIS1kJ389,Kapan para migran inggris hijrah ke amerika utara?,1620,C,IndoQA-Test
705nABbOAzpYWFGNrPSDwL22868,tim apa yang dipimpin oleh Soeharto pada operasi di Sulawesi?,Brigade Garuda Mataram,C,IndoQA-Train
2640x6nNIaOGwyi0gBPzvykU1131,Apa saja negara melayu bersukutu yang dikuasai Siam?,"Perlis, Kedah, Kelantan, dan Terengganu",B,IndoQA-Train
1034wHnCBpfrzubpIdoRKWKA312,Apa isi dari konstitusi baru?,epang ditetapkan sebagai negara yang menganut paham pasifisme dan mengutamakan praktik demokrasi liberal,A,IndoQA-Train
5ac3d90b5542995c82c4ac4b,Apa jenis permainan Castle Risk dan Elfenland?,permainan papan,C,Hotpot-Validation
607iZnQImrfBvXmq3Usq-9n90,Apa yang ditampilkan oleh TMII?,keanekaragaman arsitektur Indonesia,C,IndoQA-Test
3015_6PGvHISvA52mQzE3uqn3830,Kapan militer Riechstag berhasil ditundukkan?,30 April 1945,A,IndoQA-Test
1350iEyQpgS8um8egWa2LDPk820,Siapa pihak yang berseteru dalam peristiwa madiun?,pemerintah Republik Indonesia dan kelompok oposisi sayap kiri yaitu Front Demokrasi Rakyat,C,IndoQA-Train
6397bAfLk75E5KWRPhdSxoO3035,Agama apa yang tidak diakui pemerintah?,Konghucu,C,IndoQA-Train
124,Berapa jumlah suku terkemuka yang kurang lebih lahir dari jalur Himyar?,dua belas,A,QASiNa
209479ecAuID6IOsgZlZzFI71521,Apakah arti daksina dalam bahasa sanskerta ?,timur,B,IndoQA-Train
9281L0ojvJ8_Y1OZ8Y5E-2U2542,Apakah yang menjadi fokus program pemerintah ?,penyelamatan ekonomi nasional,A,IndoQA-Train
11737vcT3qwp_gJxVFslucFe3235,Apa bentuk apresiasi pemerintah daerah terhadap sosok Habibie?,sebagai tokoh kebanggaan Parepare yang diwujudkan dalam beberapa kebijakan pemerintah,B,IndoQA-Train
