ID,Question,Answer,Label,Source_Dataset
1758C1ntGFo_J3b9Gru82Z393529,Bagaimana iklim di daerah selatan Florida?,tropis,A,IndoQA-Train
fbd73acaf261489989720d1d2a7eb1b5,Apakah Dewan Kemananan PBB membatalkan resolusi yang mengecam serangan militer Beladan ke tentara RI?,Tidak,A,IndoQA-Test
329,Apa nama suku besar yang diturunkan oleh Arab Aribah?,"kaum Ad, kaum Tsamud, kaum Thasm",C,QASiNa
1403de07gs-9JpPhLkY3NXmx678,Siapa nama ibu dari kartini?,M.A. Ngasirah,C,IndoQA-Train
237,Daerah apa saja yang dikuasai pada masa puncak kejayaan Islam?,"Eropa, Afrika dan Asia",B,QASiNa
22353xyc8AR6WxpoF2OKgYnG4006,Apa agama dari Jokowi?,Islam,A,IndoQA-Train
2070ak7o05iYQKrCn9M9TwT31591,Siapakah perkiraan raja yang membangun candi Borobudur ?,raja Samaratungga,A,IndoQA-Train
5a7774e155429967ab10518d,"Studio mana yang membantu memproduksi kembali ke Never Land dan McFarland, Amerika Serikat?",Walt Disney Pictures,C,Hotpot-Validation
5a8af1e255429950cd6afc28,Siapa pemain sepak bola profesional Inggris yang merupakan keponakan mantan pemain sepak bola yang lahir di tempat yang sama seperti di mana dia bermain?,Trent Alexander-Arnold,C,Hotpot-Validation
963hj2Qz6EQ6THhVWXKuc_U512,SIapa yang berusaha menyelesaikan konflik di Surabaya?,Presiden Soekarno,B,IndoQA-Test
5a7f296f55429934daa2fd10,Live Wire Radio mungkin akan dianggap sebagai pengganti untuk berbagai pertunjukan yang diciptakan dalam tahun berapa?,1974,C,Hotpot-Validation
906MvzKtaiX283ibJ29qi6M2606,Kapankah Belanda mengakui secara resmi kemerdekaan Indonesia ?,tahun 1949,A,IndoQA-Train
692bmuZ27AI6NVxsz0KR_vt2895,medali apa yang diberikan FAO ke Soeharto?,From Rice Importer To Self Sufficiency,C,IndoQA-Test
272,Berapa harga yang dibayar Abu Bakar untuk membeli Bilal?,9 uqiyat emas,C,QASiNa
2554mt4e_yJYeBYxqGIR5ybl2482,Pada tanggal berapa terjadinya gencatan senjata?,10 Oktober 1827,C,IndoQA-Test
dfa04009717747708fd122c1b60eea80,Tugas Johanes van den Bosch diangkan sebagau gubernur di Indonesia untuk mendapatkan dana sebanyak mungkin untuk mengisi kekosongan kas negara,Ya,A,IndoQA-Train
5a7fa22b5542992097ad2fa6,"""A Swingin' Safari"" adalah lagu yang ditulis awalnya oleh penulis lagu Jerman Bert Kaempfert tetapi dibuat populer oleh siapa?",Billy Vaughn,C,Hotpot-Validation
25,Kapan peristiwa ini terjadi?,pada hari senin malam kedelapan bulan Ramadhan,B,QASiNa
2041iPCDoSwc6-SSEDCFNNzL1675,Siapakah pemilik Bandara Changi ?,Changi Airport Group,A,IndoQA-Train
5ae54bbd5542990ba0bbb262,Apa nama lain jamur basidiomycete?,Funki Porcini,C,Hotpot-Validation
2457EK954cnx1sbiMZvNQ97c1880,Darimanakah gagasan Impian amerika serikat berakar ?,"dari sebuah keyakinan bahwa Amerika Serikat adalah sebuah kota di atas bukit (city upon a hill), cahaya untuk negara-negara (a light unto the nations), yang memiliki nilai, dan kekayaan yang telah ada sejak kedatangan para penjelajah Eropa sampai generasi berikutnya",B,IndoQA-Train
5a7afdc85542992d025e672e,Pemain basket apa yang terpilih untuk National Collegiate Basket Hall of Fame merilis musik melalui musik Rendezvous Music?,Wayman Tisdale,C,Hotpot-Validation
24701POZs5LXY2Y_RQwGiv2X1852,Berapa lamakah indonesia menggunakan sistem demokrasi parlementer ?,hampir 9 tahun,B,IndoQA-Test
201676gIfT7jAO-6h0fecgJk2181,Negara mana saja yang ada arsitektur Utsmaniyah dari periode klasik?,"Mesir, Eritrea, Tunisia, Algiers, Balkan, dan Rumania",B,IndoQA-Train
707rbJ8T66FV5pGZGyETeS02861,Soeharto menjabat sebagai apa ketika usia 32 tahun?,Komandan Resimen Infenteri 15,C,IndoQA-Train
646uZynkMYdhv1JIw-EffYb3014,Apa nama situs web untuk berbagi video?,YouTube,A,IndoQA-Train
1951HRAy-63r-iYmzz_OIMwm2295,Dalam pertempuran apa Sultan Selim I mengalahkan Shah Ismail?,Pertempuran Chaldiran,A,IndoQA-Train
2605EHUeu9PLnQV7xV85uEAC2379,Dimana SBY tinggal semasa kecil?,Pacitan,B,IndoQA-Train
2423B6sbACqoj9ruotjUHd4V3608,Apa yang memicu perpecahan internal Angkatan Darat pada masa Soekarno?,kecewa kepada sikap petinggi Angkatan Darat yang takut kepada Malaysia,A,IndoQA-Train
5a843f305542996488c2e51d,"Kapan Flicker, diciptakan oleh anggota One Direction, dibebaskan?",20 Oktober 2017,C,Hotpot-Validation
1383YetDIx4cL2q9GHdVBJD-729,Siapa yang bertugas menjadi kepala negara?,Presiden,A,IndoQA-Train
2441iHjaCHbBrRtNVI1F4dLI1917,Berapakah luas area tambang Toba Bara ?,7087 hektare,B,IndoQA-Train
2031uU00oEz5_jFnQx9-A0O82151,Siapa nama istri keempat Pangeran Diponegoro,Raden Ayu Citrawati,A,IndoQA-Train
1441MCBHwz4mlshCsnGFlkHe2130,Apa yang menjadi penyebab makin parahnya kemacetan di Jakarta?,"para pelaju dari kota-kota di sekitar Jakarta seperti Depok, Bekasi, Tangerang, dan Bogor yang bekerja di Jakarta",A,IndoQA-Train
264,Apa yang mengalahkan sakit dan perihnya siksa para kaum kafir Quraisy?,ketulusan hati keluarga Yasir,B,QASiNa
5a71717d5542994082a3e834,"Apa bintang ""Serang Gryphon"" juga seorang penyanyi suara di Johnny Bravo?",Larry Richard Drake,C,Hotpot-Validation
3005XwdylUHqa96uz1Y8toQg3852,Kapan Uni Soviet menyatakan perang terhadap Jepang?,tiga bulan setelah kekalahan Jerman,C,IndoQA-Test
1400uU3CM_7LdMUuWkvkQxxM687,Apa peran presiden yang ditekankan oleh kabinet natsir?,hanya sebagai lambang saja,B,IndoQA-Train
1459Gtt57D0AV39kKJE2bz4b2095,Kapan Taman Lapangan Banteng dialihkan menjadi terminal bis?,tahun 1970-an,A,IndoQA-Train
327,Siapa yang meminta Rasulullah menjadi pemimpin?,orang-orang Madinah,B,QASiNa
2490HveotyJgUi9rwPkdkWpd1806,Apakah yang diperintahakan Komite Exec pada komunis Indonesia ?,membentuk sebuah front anti-imperialis bersatu dengan organisasi nasionalis non-komunis,B,IndoQA-Test
1183U1zI1TbGdaZR1adOMYQM3208,Pada tahun berapa Bizantium melakukan gencatan senjata?,758-765 M,B,IndoQA-Train
926tAEnfqtEDknSf1RRHRGd2549,Mengapa Indonesia memutuskan untuk kembali menjadi anggota PBB ?,pemerintah sadar bahwa banyak manfaat yang diperoleh Indonesia selama menjadi anggota pada tahun 1955-1964,B,IndoQA-Test
