id,question,answer,category,classification
629HsNl5Qf3THUq_CbmFrSx28,"Dengan siapa Chaerul Saleh, Sukarni, Wikana, dan para pemuda pejuang berdiskusi?",Ibrahim gelar Datuk Tan Malaka,SPAN,B
2648F832Z8D-thJnrxy_ZoZ11111,Kapan angin muson timur laut berhembus?,Oktober hingga Februari,SPAN,B
2561YDPNx6Nm5o6T0F-PGw-u2466,Siapa yang diutus oleh Jendral De Kock yang bertemu Diponegoro?,Kolonel Jan Baptist Clereens,SPAN,B
1431C0_ORK0ta8pDX6H-1VOp596,Apa yang chandrabanu lakukan setelah menguasai Kedah?,menggunakan tempat ini sebagai basis untuk menyerang Sri Lanka,SPAN,C
1234WIzl7ElikCCPk4gA-7ua3057,Kapan seluruh negara bagian Utara menghapuskan perbudakan?,antara tahun 1780 dan 1804,SPAN,B
580J0GQq9CMPFwuNoK_eRB4169,Siapakah lembaga perwakilan rakyat tertinggi di Indonesia?,Majelis Permusyawaratan Rakyat,SPAN,A
1008cPycwBnuEuEiZLC7k7LH387,Bagaimana konsep demokrasi perwakilan terjadi di amerika utara?,dengan dipilihnya Majelis Burgesses (pendahulu Majelis Umum Virginia) pada tahun 1619,SPAN,C
2515HnCK6br3syHDxNhRpc8g1750,Berapakah populasi Israel ?,"7,5 juta jiwa",SPAN,B
1423Rcv2EkrmFuIt2YeOnjUf618,Mengapa kumpulan-kumpulan negara tersebut disusun kembali menjadi federasi malaysia pada tahun 1948?,semakin meluasnya tentangan,SPAN,B
20485Fhf0JwIy4n0x3VB-lgO1653,Apa sajakah pelajaran yang diajarkan di PSLE ?,"bahasa Inggris, matematika, sains, dan bahasa ibu",SPAN,B
845RUlmcCAkxZC2itV7MBh62763,Apa sajakah bentuk bentuk Pasukan Bela diri Jepang ,"Angkatan Darat Bela Diri Jepang (JGSDF), Angkatan Laut Bela Diri Jepang (JMSDF), dan Angkatan Udara Bela Diri Jepang (JASDF)",SPAN,B
2469wKA4zFUFpbear2IzeeA21855,Mengapa kekuasaan legislatif diserahkan pada KNIP ?,karena MPR dan DPR belum terbentuk,SPAN,B
1440qne5M3TJkKmQ8UE97H1P2132,Apa nama 2 pusat sentra perdagangan di Jakarta?,Tanah Abang dan Glodok,SPAN,B
1528MgNp15Yx30rPeZDqHZi11952,Kapan Winwin debut dengan WayV?,17 Januari 2019,SPAN,B
23488dFrnyeZ5ef_I0UKSiz_3761,Kapan kejuaran dunia BWF pertama kali dilaksanakan?,1977,SPAN,B
1972yAEf1nBlvyHW4FzECBk52251,Kapan Kesultanan Utsmaniyah ikut terlibat Perang Dunia I?,November 1914,SPAN,B
1752E5XokYRzRxCMWKU2kTp-3547,Apa tujuan dari perang Amerika melawan Afganistan?,menyingkirkan pemerintahan Taliban,SPAN,C
2574e_nCnMlZf6mrQzmO3LZo2447,Siapa ajudan dari Gubernur Jendral van den Bosch?,Letnan Knooerle,SPAN,B
1235m-89f-L_U28rNQ1Twz073053,Bangsa apakah yang berperang dengan Amerika Serikat?,bangsa Indian,SPAN,B
924h9Ft9SWd5mJ8NvTErCl72555,Apakah peran dinamisator yang dilakukan oleh Soeharto ?,menyelamatkan bangsa dari perpecahan setelah Gerakan 30 September,SPAN,C
1449K8ANCJR2kfhz2B8KAAgg2114,"Menurut Cribb, berapa banyak penganun agama Konghucu di Indonesia di tahun 1971?","1,7%",SPAN,B
2563vdW9TuW9KxwiRSmdl72r2463,Apa yang diberikan oleh De Kock ke Pangeran Diponegoro selama bulan puasa itu?,eekor kuda berwarna abu-abu dan uang f 10.000 yang dicicil dua kali untuk membiayai para pengikutnya selama bulan puasa,SPAN,B
9171SqPvS4Y9VVB9rn93Vi-2574,Apakah nama lembaga pemerintah yang memberikan kepastian pemasaran hasil ?,Bulog (Badan Urusan Logistik),SPAN,C
27065ZHgP-paSB5ljBAmKla_949,Apa saja negara yang termasuk ke dalam kekuatan besar eropa?,"Kekaisaran Jerman, Kekaisaran Austria-Hongaria, Kesultanan Utsmaniyah, Kekaisaran Rusia, Imperium Britania, Republik Prancis, dan Italia",SPAN,C
542GY7OjClDyzNlztIK-dOQ282,Nama lain Indonesia yang dicetuskan oleh patih Gajah Mada,Nusantara,SPAN,C
2135JNizCTqBzs-NkJ-0GhnT1406,Kapankah serangan pada WTC terjadi ?,11 September 2001,SPAN,A
1021PPK-R-xW8kEi9x6y3ozh353,Siapa negara dengan nilai ekspor terbesar ke-4?,Jepang,SPAN,B
2130h876xzkpp7t6b6OH4mTG1419,Siapakah yang mengklaim Soedirman hidup sebagai pembicara seperti Soekarno ?,Sardiman,SPAN,B
884P0H0QPSGbW5zK2GVDAY02661,Apakah tafsiran perintah merayakan hari sabat pada kitab Keluaran ?,untuk mengingatkan berhentinya pekerjaan Penciptaan,SPAN,B
1192qu70aQV6bzoD2MwG1aT83180,Apa pendapat yang ditentang oleh Abu Ali al-Hasan?,mata mengirim cahaya ke benda yang dilihat,SPAN,C
604BaVh8B5igEaFS0x8dDlu99,Budaya asing apa saja yang masuk ke Indonesia dan mempengaruhi warisan budaya beberapa etnis?,"India, Arab, Tiongkok, Eropa",SPAN,B
2670fxp2HMG8cuSsty0VDUYi1051,Apa tujuan penanaman spesies damar yang cepat pertumbuhannya?,terus memperkaya sumber-sumber hutan,SPAN,B
22218q38c0YRb2JXvtSd0Nqf4044,Apa saja isu yang menyebar dalam kampanye hitam?,"isu SARA, isu kebakaran yang disengaja, korupsi, dan politik transaksional",SPAN,C
2134Bi8K76FZoKK6ZdoHexNd1407,Siapakah anggota paling berpengaruh Taliban ?,Mullah Mohammed Omar,SPAN,B
2098lWBBQeFRw7WuODbVUvic1512,Apakah nama museum di Amsterdam yang menyimpan relik candi Borobudur ?,Tropenmuseum,SPAN,B
899il7HMq79D4iA4PWEiSgJ2628,Siapakah yang memberikan tanda bila terjadi offside ?,penjaga garis,SPAN,C
9853WfA7vCWlhKLuNowxZf-444,Apa pengganti dari rumah bung karno yang sudah tidak ada lagi?,Tugu Proklamasi dengan patung Soekarno-Hatta,SPAN,C
1940j-y1Q_I1wO0_w4xuf2jC2322,Apa tujuan utama dari Gerakan Non-Blok?,"mengupayakan hak untuk menentukan nasib sendiri, kemerdekaan nasional, kedaulatan, dan integritas negara anggota",SPAN,B
2577bEPb_E8k_8MS_cadZ9ua2441,Pada jam berapa Diponegoro meninggal?,06.30 pagi,SPAN,B
29828E9PeGsXkCgpy9f0lHoG3903,Apa tujuan pasukan Jerman dikirim ke Libya?,melancarkan serangan terhadap pasukan Persemakmuran,SPAN,B
3022nFZbMu1Zsnj63qPWfgCv3813,Kapan Perserikatan Bangsa-Bangsa resmi berdiri?,24 Oktober 1945,SPAN,A
609MyQ372LLBdo0DkE0M__Y85,Siapakah atlet Indonesia yang dikenal sebagai sosok maestro bulu tangkis dunia?,Rudi Hartono,SPAN,B
1012LN56E8ShPhOCoocbJrrp377,Apa definisi demokrasi liberal menurut Freedom House?,negara yang bebas dan menghormati hukum dan HAM,SPAN,B
2656m6atvpn0tFeC20KuCqnA1091,Apa akibat dari pertumbuhan ekonomi yang cepat?,memicu macam-macam masalah pemasokan,SPAN,A
1837DjnvLKs92-s8s-2bK5zI3340,Berapa persentase kontribusi minuman bergula pada kalori warga AS?,9%,SPAN,B
994Sida6rlY6gttMLbmo18H294,Apa kepanjangan dari BPUPKI?,Badan Penyelidik Usaha-usaha Persiapan Kemerdekaan Indonesia,SPAN,A
2972anHdG1TwBtQaRXhi-WEK3930,Apa nama kota di Tiongkok yang diserang oleh Jepang pertama kali?,Changsha,SPAN,C
2543YTHVxq-ZfUQzgqYoJgvE2501,"Setelah kalah Perang Diponegoro, kemana Hindia Belanda mengirim Sentot?","Salatiga, Batavia",SPAN,C
2417mVau_Gooa9D5PxRnhLKg3623,Kapan Negara Federasi Malaysia terbentuk?,16 September 1963,SPAN,B
2135XIpxKCXL8wqzaiLxmU9S1404,Mengapa Taliban digulingkan oleh Amerika Serikat ?,dituduh melindungi pemimpin Al Qaeda Osama Bin Laden,SPAN,C
1941vdbzlN7oVltmEKX-YLNT2321,Bagaimana ketua KTT terpilih?,kepala negara atau kepala pemerintahan yang menjadi tuan rumah konferensi itu,SPAN,A
1172cnB3XirJLf2l_lj2h1NR3237,Pada tanggal berapa Habibie meninggal dunia?,11 September 2019,SPAN,A
2090kIQgIF1t7Ra3IASVYGL71532,Berapakah batu andesit yang diperlukan untuk membangun candi Borobudur ?,55.000 meter kubik,SPAN,B
1202iIzasrTScRTbY9MqhVF43150,Dalam segi apa fanatisme kebangsaan dapat dirasakan?,dalam kesusasteraan dan karya-karya ilmiah,SPAN,B
2197JYHIBfWstcD9UKgGesaP4105,Siapakah nama penerjemah Cheng Ho?,Ma Huan,SPAN,B
897WMI0gpuEb7GnEJyiH4Uz2633,Apakah konsekueknsi dari menerima kartu kuning ?,mendapatkan kartu merah dan keluar dari pertandingan,SPAN,B
1384F3UCzmVUDztYUe75gYZ8726,Apa topik perdebatan yang berlangsung sangat sengit?,Perdebatan isu dasar negara,SPAN,B
1378ks8fL5T0PZyVfKqdb0iq743,Apa peristiwa yang mengakhirkan era demokrasi liberal?,keluarnya Dekret Presiden,SPAN,B
1595fYgFcFNnWFaGQLEXRtcJ1248,Apakah faktor yang menyebabkan lambatnya pergerakan Budi Utomo ?,arena faktor anggota yang mayoritas merupakan pangreh praja yang takut b,SPAN,B
973l7OlPX7xTIwuKoPqSOF1480,Di mana Bachrum menyembunyikan pistol?,di balik jasnya,SPAN,B
2059qn2LY5Rgkc_lCxZvqig_1624,Berapa banyakkah stupa berlubang yang mengelilingi stupa utama ?,72,SPAN,B
1350iEyQpgS8um8egWa2LDPk820,Siapa pihak yang berseteru dalam peristiwa madiun?,pemerintah Republik Indonesia dan kelompok oposisi sayap kiri yaitu Front Demokrasi Rakyat,SPAN,B
2426OrIWlCMyEkLoqANXww1O3604,Apa yang menyebabkan di Indonesia sempat terjadi inflasi hingga 650%?,keputusan Suharto-Nasution untuk menaikkan gaji para tentara 500% dan penganiayaan terhadap kaum pedagang Tionghoa yang menyebabkan mereka kabur,SPAN,C
1567OzoMV2H8D1C1oKf9kJ7U1317,Bagaimanakah cara DPR menolak halus pengunduran diri Hatta ?,dengan cara mendiamkan surat tersebut,SPAN,B
1157dystjMPwLIVRr1mKQuwa3280,Pada tanggal berapakah mantan Presiden Soeharto meninggal dunia?,27 Januari 2008,SPAN,B
27136dTeCLdMVvvOL507cvEc930,Bagaimana Austria-Hongaria memulai konflik Bosnia pada tahun 1908-1909?,dengan menganeksasi secara resmi bekas teritori Utsmaniyah di Bosnia dan Herzegovina,SPAN,B
1365-1b52ot7eMMf3SsA9c4Y777,Mengapa Hatta ingin menyelesaikan pemeberontakan sesegara mungkin?,sebelum Belanda mulai turun tangan,SPAN,B
2236OY8HQU0L8c2zBLDDSfzl4002,Bagaimana cara Jokowi dalam memimpin Indonesia?,"dengan kekayaan manusia, budaya, dan pluralitasnya",SPAN,B
1173TY1U9F1eZjiUDJuXEvfX3233,Di provinsi manakah B.J. Habibie dilahirkan?,di Sulawesi Selatan,SPAN,B
2475BHL2tV9VUQb2nFxwGP0p1839,Siapa sajakah yang mendeklarasikan ASEAN ?,8 Agustus 1967,SPAN,A
2499V-2FlPo6WVsoWpisdH6C1783,Dimanakah PRRI berbasis ?,di Sumatra dan Sulawesi,SPAN,B
3018ir8K9UU-cmqq5IQcmz7l3820,Apa yang disepakati para sekutu terhadap Jepang?,tuntutan penyerahan diri semua pasukan Jepang,SPAN,A
2646G7TOcWUmw6OMJGvjmnOd1116,Apa yang dimaksud dengan KLIA?,Bandar Udara Internasional Kuala Lumpur,SPAN,B
628A_ztdoD85Pm7Hd6Uv2TF31,Siapa yang menemani Soekarno dan Hatta menuju kantor Bukanfu?,Achmad Soebar,SPAN,C
2548jWUEsutIJk1cbqN2tPM12494,Siapa yang menghibur Pangeran ketika sedang sakit?,Roto,SPAN,B
840n8TOnpwIHl-qkgddBBUV2778,Berapa anggota majelis rendah jepang ?,480,SPAN,B
1979k__dYe4eh0JcWo4LS3y02238,Apa saja tiga sistem pengadilan Utsmaniyah?,"satu untuk Muslim, satu untuk non-Muslim yang melibatkan pejabat Yahudi dan Kristen yang menguasai komunitas agamanya masing-masing, dan pengadilan dagang",SPAN,C
730-sg8DQC7Q6MNsKvBhO3l2801,Apa yang diminta BJ Habibie kepada pejabat lainnya?,menyerahkan gaji pokoknya selama satu tahun dalam rangka krisis moneter,SPAN,B
2411q8v30VrYGF_YwZ3xRDOD3629,Berapa banyak gerakan Barisan Tani Indonesia yang dikontrol oleh PKI?,9 juta anggota,SPAN,B
1537GkZcUo3TOHP-viuoWNt-1927,Siapa yang memperkenalkan pertama kali kata Non-Blok?,Perdana Menteri India Nehru,SPAN,B
