id,context,question,answer,category,span_start,span_end,classification
629HsNl5Qf3THUq_CbmFrSx28,"Para pemuda pejuang, termasuk Chaerul Saleh, Sukarni, dan Wikana yang terbakar gelora kepahlawanannya setelah berdiskusi dengan Ibrahim gelar Datuk Tan Malaka. Pada dini hari tanggal 16 Agustus 1945, mereka bersama Shodanco Singgih, salah seorang anggota PETA, dan pemuda lain, membawa Soekarno (bersama Fatmawati dan Guntur yang baru berusia 9 bulan) serta Hatta, ke Rengasdengklok, yang kemudian terkenal sebagai Peristiwa Rengasdengklok. Tujuannya adalah agar Soekarno dan Hatta tidak terpengaruh oleh Jepang. Di sini, mereka kembali meyakinkan Soekarno bahwa Jepang telah menyerah dan para pejuang telah siap untuk melawan Jepang, apa pun risikonya.","Dengan siapa Chaerul Saleh, Sukarni, Wikana, dan para pemuda pejuang berdiskusi?",Ibrahim gelar Datuk Tan Malaka,SPAN,128,158,B
2648F832Z8D-thJnrxy_ZoZ11111,"Malaysia terdiri atas dua kawasan utama yang terpisah oleh Laut Tiongkok Selatan. Keduanya memiliki bentuk muka bumi yang hampir sama, yaitu dari pinggir laut yang landai hingga hutan lebat dan bukit tinggi. Puncak tertinggi di Malaysia (dan juga di Kalimantan) yaitu Gunung Kinabalu setinggi 4.095,2 meter di Sabah. Iklim lokal adalah khatulistiwa dan dicirikan oleh angin muson barat daya (April hingga Oktober) dan timur laut (Oktober hingga Februari).",Kapan angin muson timur laut berhembus?,Oktober hingga Februari,SPAN,430,453,B
2561YDPNx6Nm5o6T0F-PGw-u2466,"Pada 16 Februari 1830, Diponegoro setuju untuk bertemu dengan utusan Jenderal De Kock, yakni Kolonel Jan Baptist Clereens dan mengutus Kiai Pekih Ibrahim dan Haji Badaruddin agar Clereens bisa datang ke Remo Kamal, Bagelen (sekarang masuk wilayah Kabupaten Purworejo), di hulu sungai Cingcingguling. Pertemuan pada 20 Februari 1830 tersebut tidak menghasilkan kesepakatan, meski berjalan lancar dan akrab. Akhirnya, Diponegoro ingin bertemu langsung dengan De Kock yang ketika itu berada di Batavia dan bermaksud menunggunya di Bagelen Barat. Namun, Clereens menyarankan agar Diponegoro menunggu De Kock di Menoreh dan sang Pangeran tiba pada 21 Februari 1830 dan dielu-elukan oleh 700 pengikutnya.",Siapa yang diutus oleh Jendral De Kock yang bertemu Diponegoro?,Kolonel Jan Baptist Clereens,SPAN,93,121,B
1431C0_ORK0ta8pDX6H-1VOp596,"Kerajaan Buddhis Ligor segera kembali mengendalikan Kedah. Rajanya, Chandrabhanu, menggunakan tempat ini sebagai basis untuk menyerang Sri Lanka pada abad ke-11, sebuah peristiwa yang dipahat di atas prasasti batu di Nagapattinum di Tamil Nadu dan di dalam kisah-kisah bangsa Sri Lanka, Mahavamsa. Selama milenium pertama, masyarakat di Semenanjung Malaya beragama Hindu dan Buddha dan berbahasa Sanskerta, hingga mereka beralih kepada Islam.",Apa yang chandrabanu lakukan setelah menguasai Kedah?,menggunakan tempat ini sebagai basis untuk menyerang Sri Lanka,SPAN,82,144,C
1234WIzl7ElikCCPk4gA-7ua3057,"Sikap terhadap perbudakan juga berubah; semua negara bagian melarang perdagangan budak internasional, dan pemerintah federal mengkriminalisasikan kegiatan impor atau ekspor budak pada tahun 1807. Seluruh negara bagian Utara menghapuskan perbudakan antara tahun 1780 dan 1804. Sementara itu, dengan tingginya produksi kapas setelah tahun 1820, bangsa kulit putih di Selatan memutuskan bahwa perbudakan adalah hal yang positif bagi semua orang, termasuk para budak. Gerakan Kebangunan Rohani Kedua, yang dimulai pada 1800-an, menyebabkan jutaan orang memeluk agama Protestan. Di Utara, muncul beberapa gerakan reformasi sosial, termasuk abolisionisme.",Kapan seluruh negara bagian Utara menghapuskan perbudakan?,antara tahun 1780 dan 1804,SPAN,248,274,B
580J0GQq9CMPFwuNoK_eRB4169,"Lembaga perwakilan tertinggi yaitu Majelis Permusyawaratan Rakyat (MPR), yang berwenang mengubah dan menetapkan konstitusi, serta melantik dan memberhentikan presiden dan/atau wakil presiden. Lembaga ini berbentuk bikameral yang terdiri dari 575 anggota Dewan Perwakilan Rakyat (DPR) yang berasal dari partai politik, ditambah dengan 136 anggota Dewan Perwakilan Daerah (DPD) yang merupakan wakil provinsi dari jalur independen. Anggota DPR dan DPD dipilih melalui pemilihan umum dengan masa jabatan lima tahun. Fungsi yang dijalankan oleh DPR yaitu legislasi (membentuk undang-undang), anggaran (membahas dan menyetujui Anggaran Pendapatan dan Belanja Negara), dan pengawasan (mengawasi kinerja pemerintah), sedangkan DPD merupakan lembaga legislatif yang lebih dikhususkan pada pengelolaan daerah. Saat ini, MPR diketuai oleh Bambang Soesatyo, DPR diketuai oleh Puan Maharani, sedangkan DPD diketuai oleh La Nyalla Mattalitti.",Siapakah lembaga perwakilan rakyat tertinggi di Indonesia?,Majelis Permusyawaratan Rakyat,SPAN,35,65,B
1008cPycwBnuEuEiZLC7k7LH387,"Di Amerika Utara, pemerintahan perwakilan terbentuk di Jamestown, Virginia, dengan dipilihnya Majelis Burgesses (pendahulu Majelis Umum Virginia) pada tahun 1619. Kaum Puritan Inggris yang bermigrasi sejak 1620 mendirikan koloni-koloni di New England yang pemerintahan daerahnya bersifat demokratis dan mendorong perkembangan demokrasi di Amerika Serikat. Walaupun majelis-majelis daerah memiliki sedikit kekuasaan turunan, otoritas mutlaknya dipegang oleh Raja dan Parlemen Inggris.",Bagaimana konsep demokrasi perwakilan terjadi di amerika utara?,dengan dipilihnya Majelis Burgesses (pendahulu Majelis Umum Virginia) pada tahun 1619,SPAN,76,161,C
2515HnCK6br3syHDxNhRpc8g1750,"Israel (;) adalah sebuah negara di Timur Tengah yang dikelilingi Laut Tengah, Lebanon, Suriah, Yordania, Mesir dan gurun pasir Sinai. Selain itu dikelilingi pula dua daerah Otoritas Nasional Palestina: Jalur Gaza dan Tepi Barat. Dengan populasi sebesar 7,5 juta jiwa, Israel merupakan satu-satunya negara Yahudi di dunia. Selain itu, terdapat pula beberapa kelompok etnis minoritas lainnya, meliputi etnis Arab yang berkewarganegaraan Israel, beserta kelompok-kelompok keagamaan lainnya seperti Muslim, Kristen, Druze, Samaria, dan lain-lain.",Berapakah populasi Israel ?,"7,5 juta jiwa",SPAN,253,266,B
1423Rcv2EkrmFuIt2YeOnjUf618,"Malaysia sebagai negara federal tidak pernah ada sampai tahun 1963. Sebelumnya, sekumpulan koloni didirikan oleh Britania Raya pada akhir abad ke-18, dan bagian barat Malaysia modern terdiri dari beberapa kerajaan yang terpisah-pisah. Kumpulan wilayah jajahan itu dikenal sebagai Malaya Britania hingga pembubarannya pada 1946, ketika kumpulan itu disusun kembali sebagai Uni Malaya. Seiring dengan semakin meluasnya tentangan, kumpulan itu lagi-lagi disusun kembali sebagai Federasi Malaya pada tahun 1948 dan kemudian meraih kemerdekaan pada 31 Agustus 1957.",Mengapa kumpulan-kumpulan negara tersebut disusun kembali menjadi federasi malaysia pada tahun 1948?,semakin meluasnya tentangan,SPAN,399,426,B
20485Fhf0JwIy4n0x3VB-lgO1653,"Siswa masuk sekolah dasar pada usia 7 tahun dan melanjutkan pendidikan selama enam tahun, pada akhir masa pendidikan mereka menjalani Primary School Leaving Examination (PSLE). Ada empat pelajaran di sekolah dasar, yaitu bahasa Inggris, matematika, sains, dan bahasa ibu. Semua pelajaran diajarkan dan diujikan dalam bahasa Inggris kecuali bahasa ibu yang diajarkan dan diujikan dalam bahasa Melayu, Mandarin (Tionghoa) atau Tamil. Sementara bahasa ibu merujuk pada bahasa utama secara internasional, dalam sistem pendidikan Singapura sebutan ini digunakan untuk merujuk pada bahasa kedua atau tambahan karena bahasa Inggris adalah bahasa utama. Sekolah dasar negeri tidak membebankan biaya sekolah, tetapi bisa saja muncul biaya tak terduga.",Apa sajakah pelajaran yang diajarkan di PSLE ?,"bahasa Inggris, matematika, sains, dan bahasa ibu",SPAN,220,270,B
